선수명,팀,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,시즌,IP_float,FIP,xFIP,ERA+,K/9,BB/9,K/BB,pWAR
주현상,한화,5.18,48,5,2,1,3,0.714,41 2/3,59,8,10,3,37,25,24,1.656,0,0,0,2,193,776,0.331,14,2,2,0,0,1,0,2025,41.666666666666664,4.76,4.76,81.1,7.99,2.16,3.7,0.11
황준서,한화,5.3,23,2,8,0,0,0.2,56,54,7,26,2,57,37,33,1.429,0,0,2,0,242,1012,0.255,11,4,0,2,2,1,0,2025,56.0,4.19,4.19,79.2,9.16,4.18,2.19,0.5
엄상백,한화,6.58,28,2,7,0,1,0.222,80 2/3,106,13,38,8,74,60,59,1.785,0,0,2,0,379,1540,0.324,18,3,3,3,0,3,0,2025,80.66666666666667,5.07,5.07,63.8,8.26,4.24,1.95,-0.06
이상규,한화,8.0,5,0,1,0,0,0.0,9,16,0,4,0,5,9,8,2.222,0,0,0,0,47,155,0.372,2,1,0,0,0,0,0,2025,9.0,3.32,3.32,52.5,5.0,4.0,1.25,0.17
권민규,한화,8.44,5,0,0,0,0,,5 1/3,5,1,7,0,4,5,5,2.25,0,0,0,0,28,129,0.25,1,0,0,1,0,0,0,2025,5.333333333333333,7.98,7.98,49.8,6.75,11.81,0.57,-0.18
강재민,한화,9.0,4,0,0,0,0,,4,6,1,2,1,5,4,4,,0,0,0,0,20,92,0.375,1,0,0,1,0,0,0,2025,4.0,,,,,,,
원종혁,한화,16.2,2,0,0,0,0,,1 2/3,3,1,2,0,1,3,3,,0,0,0,0,10,37,0.429,0,0,0,1,0,0,0,2025,1.6666666666666665,,,,,,,
김승일,한화,23.63,5,0,0,0,0,,2 2/3,3,1,3,3,3,7,7,,0,0,0,0,17,68,0.273,0,0,0,0,0,1,0,2025,2.6666666666666665,,,,,,,
주승우,키움,2.45,42,2,2,16,5,0.5,44,35,7,17,2,35,13,12,1.182,0,0,0,4,179,713,0.222,1,0,2,0,0,1,0,2025,44.0,4.87,4.87,169.7,7.16,3.48,2.06,0.06
웰스,키움,3.15,4,1,1,0,0,0.5,20,18,0,6,1,16,8,7,1.2,0,0,2,0,85,329,0.234,3,0,0,1,0,0,0,2025,20.0,2.55,2.55,132.0,7.2,2.7,2.67,0.54
로젠버그,키움,3.23,13,4,4,0,0,0.5,75 1/3,63,5,25,4,80,33,27,1.168,0,0,6,0,320,1265,0.22,13,2,3,1,0,2,0,2025,75.33333333333333,2.99,2.99,128.7,9.56,2.99,3.2,1.67
알칸타라,키움,3.27,19,8,4,0,0,0.667,121,125,11,10,4,92,50,44,1.116,0,0,14,0,492,1796,0.267,20,3,6,3,0,3,0,2025,121.0,3.11,3.11,127.2,6.84,0.74,9.2,2.52
오석주,키움,3.7,53,2,1,0,7,0.667,58 1/3,52,4,29,7,44,24,24,1.389,0,0,0,1,252,1032,0.249,6,1,3,4,0,3,0,2025,58.333333333333336,4.33,4.33,112.4,6.79,4.47,1.52,0.43
메르세데스,키움,4.47,8,3,3,0,0,0.5,46 1/3,54,5,9,0,41,24,23,1.36,0,0,2,0,197,764,0.292,12,0,2,1,0,2,1,2025,46.333333333333336,3.32,3.32,93.0,7.96,1.75,4.56,0.86
박윤성,키움,4.53,54,0,5,1,6,0.0,51 2/3,55,9,19,1,40,31,26,1.432,0,0,0,3,226,905,0.271,12,0,3,0,0,4,1,2025,51.666666666666664,4.98,4.98,91.8,6.97,3.31,2.11,0.01
김성민,키움,4.68,29,0,3,0,1,0.0,25,25,1,13,5,18,15,13,1.52,0,0,0,1,113,397,0.272,3,3,2,1,1,0,0,2025,25.0,4.34,4.34,88.9,6.48,4.68,1.38,0.18
하영민,키움,4.99,28,7,14,0,0,0.333,153 1/3,169,13,41,9,134,90,85,1.37,0,0,14,0,669,2506,0.278,29,3,8,2,1,7,0,2025,153.33333333333334,3.43,3.43,83.3,7.87,2.41,3.27,2.65
윤석원,키움,5.54,37,1,1,0,8,0.5,37 1/3,41,3,12,2,27,23,23,1.42,0,0,0,1,160,623,0.285,9,3,1,1,2,0,0,2025,37.333333333333336,3.82,3.82,75.1,6.51,2.89,2.25,0.48
김선기,키움,5.65,44,1,7,0,2,0.125,78,96,6,47,11,43,55,49,1.833,0,0,0,0,381,1391,0.305,17,0,3,5,1,2,0,2025,78.0,5.23,5.23,73.6,4.96,5.42,0.91,-0.2
조영건,키움,5.68,51,5,5,8,7,0.5,77 2/3,84,12,38,4,47,51,49,1.571,0,0,0,2,353,1330,0.275,18,1,2,4,0,5,0,2025,77.66666666666667,5.52,5.52,73.2,5.45,4.4,1.24,-0.44
정현우,키움,5.86,18,3,7,0,0,0.3,81 1/3,92,8,48,6,55,63,53,1.721,0,0,3,0,384,1496,0.287,20,0,3,6,0,4,2,2025,81.33333333333333,5.02,5.02,71.0,6.09,5.31,1.15,-0.02
원종현,키움,6.13,61,2,4,5,11,0.333,54 1/3,68,5,18,3,40,42,37,1.583,0,0,0,6,248,931,0.313,8,2,7,3,2,6,0,2025,54.333333333333336,3.98,3.98,67.8,6.63,2.98,2.22,0.61
김윤하,키움,6.14,19,0,12,0,0,0.0,88,113,16,44,3,52,76,60,1.784,0,0,4,1,422,1645,0.309,18,2,5,4,1,2,0,2025,88.0,5.88,5.88,67.7,5.32,4.5,1.18,-0.85
이강준,키움,6.57,29,0,3,0,2,0.0,24 2/3,29,3,17,2,26,22,18,1.865,0,0,0,0,119,492,0.296,5,0,2,0,0,2,0,2025,24.666666666666668,4.88,4.88,63.3,9.49,6.2,1.53,0.03
박주성,키움,6.58,18,2,3,0,1,0.4,52,63,9,16,3,26,40,38,1.519,0,0,2,0,235,865,0.3,11,2,2,4,0,2,0,2025,52.0,5.45,5.45,63.2,4.5,2.77,1.62,-0.26
